100001|0004-00003579|Paga|6050|01/06/2021
100003|0004-00003759|Paga|6050|02/01/2021
100004|0004-00003780|Impaga|6050|03/01/2021
100006|0004-00003894|Paga|6050|04/01/2021
100007|0004-00003962|Impaga|6050|05/01/2021
100008|0004-00004334|Paga|6050|06/01/2021
100009|0004-00004484|Paga|6050|07/01/2021
100010|0004-00004697|Impaga|6050|08/01/2021
100011|0004-00004951|Paga|6050|09/01/2021
100001|0004-00005149|Paga|6050|10/01/2021
100003|0004-00005370|Paga|6050|11/01/2021
100004|0004-00005664|Impaga |6050|12/01/2021
100006|0004-00005997|Paga|5445|13/01/2021
100007|0004-00006216|Impaga|5445|14/01/2021
100008|0004-00006495|Impaga|5445|15/01/2021
100009|0004-00006773|Paga|7260|16/01/2021
100010|0004-00007043|Impaga|7260|17/01/2021
100011|0004-00007295|Paga|7260|01/03/2020
100001|0004-00007605|Impaga|7260|01/03/2020
100003|0004-00007862|Impaga|7260|01/05/2020
100004|0004-00008143|Impaga|7260|01/06/2020
100006|0004-00008404|Paga|9075|01/07/2020
100007|0004-00008682|Impaga|9075|02/08/2020
100008|0004-00008968|Paga|9075|01/09/2020
100009|0004-00009251|Paga|9075|01/10/2020
100010|0004-00009517|Impaga|9075|01/11/2020
100011|0004-00009887|Paga|9982,5|03/12/2020
100001|0004-00010082|Impaga|9982,5|01/01/2021
100003|0004-00010373|Paga|9982,5|01/02/2021
100004|0004-00010617|Impaga|9982,5|02/03/2021
100006|0004-00010922|Paga|21780|01/04/2021
100007|0004-00011238|Paga|21780|02/05/2021
100008|0004-00011476|Impaga|21780|01/06/2021
100009|0004-00011797|Impaga|21780|02/07/2021
100010|0004-00012018|Impaga|25289|01/08/2021
100011|0004-00012353|Paga|25289|01/09/2021
100002|0004-00012630|Paga|25289|01/10/2021
100002|0004-00012973|Paga|25289|02/11/2021
100002|0004-00010964|Paga|4235,88|02/04/2021
100005|0004-00011169|Impaga|60500|01/05/2021
100005|0004-00011525|Impaga|60500|02/06/2021
100005|0004-00011744|Paga|90750|01/07/2021
100005|0004-00012011|Paga|90750|01/08/2021
100005|0004-00012345|Impaga|90750|01/09/2021
100012|0004-00012624|Paga|90750|01/10/2021
100012|0004-00012966|Impaga|90750|02/11/2021
